JCR_Position,Name,JCR Year,Abbr Name,Publisher,ISSN,EISSN,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF,JIF5Years,JIF_NoSelfCite,JCI,Area,Rank,Normalized Journal,Journal_Abbreviation,SJR_Score,SJR_Quartile,H_Index,SJR_Categories,SJR_Areas,JIF_2024,Quartile_2024,WoS_Index,WoS_Categories,SJR_Year,SJR_Score_2023,SJR_Quartile_2023
1.0,CA-A CANCER JOURNAL FOR CLINICIANS,2025.0,CA-CANCER J CLIN,WILEY,0007-9235,1542-4863,78841.0,6.0,14.0,3.7,4.7,685.2,353.0,232.2,112.16,Q1,1/326,ca a cancer journal for clinicians,Ca-Cancer J. Clin.,104.065,Q1,236.0,Hematology (Q1); Oncology (Q1),Medicine,232.4,Q1,SCIE,ONCOLOGY,2025.0,106.094,Q1
2.0,NATURE REVIEWS MICROBIOLOGY,2025.0,NAT REV MICROBIOL,NATURE PORTFOLIO,1740-1526,1740-1534,71046.0,0.0,49.0,6.7,5.4,104.6,99.1,102.8,9.86,Q1,1/163,nature reviews microbiology,Nat. Rev. Microbiol.,18.406,Q1,421.0,Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1),Immunology and Microbiology; Medicine,103.3,Q1,SCIE,MICROBIOLOGY,2025.0,9.639,Q1
3.0,NATURE REVIEWS DRUG DISCOVERY,2025.0,NAT REV DRUG DISCOV,NATURE PORTFOLIO,1474-1776,1474-1784,57448.0,4.0,36.0,6.5,5.4,91.2,129.8,101.1,13.95,Q1,1/352,nature reviews drug discovery,Nat. Rev. Drug Discovery,32.577,Q1,428.0,Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1),"Medicine; Pharmacology, Toxicology and Pharmaceutics",101.8,Q1,SCIE,BIOTECHNOLOGY & APPLIED MICROBIOLOGY; PHARMACOLOGY & PHARMACY,2025.0,22.399,Q1
4.0,NATURE REVIEWS MOLECULAR CELL BIOLOGY,2025.0,NAT REV MOL CELL BIO,NATURE PORTFOLIO,1471-0072,1471-0080,83533.0,0.0,49.0,7.1,6.9,118.0,128.7,89.6,7.94,Q1,1/204,nature reviews molecular cell biology,Nat. Rev. Mol. Cell Biol.,35.568,Q1,553.0,Cell Biology (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology",90.2,Q1,SCIE,CELL BIOLOGY,2025.0,35.91,Q1
5.0,Kidney International Supplements,2025.0,KIDNEY INT SUPPL,ELSEVIER SCIENCE INC,2157-1724,2157-1716,2930.0,9.0,9.0,11.0,5.6,8.3,26.0,89.6,5.88,Q1,1/133,kidney international supplements,Kidney Int. Suppl.,12.369,Q1,57.0,Nephrology (Q1),Medicine,89.6,Q1,SCIE,UROLOGY & NEPHROLOGY,2025.0,3.126,Q1
6.0,LANCET,2025.0,LANCET,ELSEVIER SCIENCE INC,0140-6736,1474-547X,378842.0,198.0,251.0,7.8,4.5,109.0,104.8,87.1,23.28,Q1,1/332,lancet,Lancet,14.821,Q1,982.0,Medicine (miscellaneous) (Q1),Medicine,88.5,Q1,SCIE,"MEDICINE, GENERAL & INTERNAL",2025.0,,
7.0,Nature Reviews Materials,2025.0,NAT REV MATER,NATURE PORTFOLIO,2058-8437,2058-8437,49906.0,10.0,60.0,4.9,5.0,83.3,99.8,85.9,4.42,Q1,1/460,nature reviews materials,Nat. Rev. Mater.,20.801,Q1,242.0,"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)",Energy; Materials Science,86.2,Q1,SCIE,"MATERIALS SCIENCE, MULTIDISCIPLINARY; NANOSCIENCE & NANOTECHNOLOGY",2025.0,21.836,Q1
8.0,Nature Reviews Clinical Oncology,2025.0,NAT REV CLIN ONCOL,NATURE PORTFOLIO,1759-4774,1759-4782,39514.0,3.0,48.0,4.6,4.6,94.6,89.9,81.7,11.95,Q1,2/326,nature reviews clinical oncology,Nat. Rev. Clin. Oncol.,28.076,Q1,259.0,Oncology (Q1),Medicine,82.2,Q1,SCIE,ONCOLOGY,2025.0,21.048,Q1
9.0,NEW ENGLAND JOURNAL OF MEDICINE,2025.0,NEW ENGL J MED,MASSACHUSETTS MEDICAL SOC,0028-4793,1533-4406,414591.0,246.0,293.0,8.4,5.3,84.5,84.9,77.9,23.3,Q1,2/332,new england journal of medicine,N. Engl. J. Med.,18.397,Q1,1275.0,Medicine (miscellaneous) (Q1),Medicine,78.5,Q1,SCIE,"MEDICINE, GENERAL & INTERNAL",2025.0,20.544,Q1
10.0,Nature Reviews Earth & Environment,2025.0,NAT REV EARTH ENV,SPRINGERNATURE,2662-138X,2662-138X,20911.0,3.0,52.0,3.0,7.2,74.1,73.7,71.1,5.96,Q1,1/374,nature reviews earth and environment,Nat. Rev. Earth Environ.,17.081,Q1,109.0,Atmospheric Science (Q1); Earth-Surface Processes (Q1); Nature and Landscape Conservation (Q1); Pollution (Q1),Earth and Planetary Sciences; Environmental Science,71.5,Q1,SCIE,"ENVIRONMENTAL SCIENCES; GEOSCIENCES, MULTIDISCIPLINARY; METEOROLOGY & ATMOSPHERIC SCIENCES",2025.0,9.521,Q1
11.0,NATURE REVIEWS CANCER,2025.0,NAT REV CANCER,NATURE PORTFOLIO,1474-175X,1474-1768,62745.0,17.0,63.0,9.4,5.4,60.7,81.0,66.4,9.04,Q1,3/326,nature reviews cancer,Nat. Rev. Cancer,22.814,Q1,548.0,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",66.8,Q1,SCIE,ONCOLOGY,2025.0,26.837,Q1
