JCR_Position,Name,JCR Year,Abbr Name,Publisher,ISSN,EISSN,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF,JIF5Years,JIF_NoSelfCite,JCI,Area,Rank,Normalized Journal,Journal_Abbreviation,SJR_Score,SJR_Quartile,H_Index,SJR_Categories,SJR_Areas
1.0,CA-A CANCER JOURNAL FOR CLINICIANS,2024.0,CA-CANCER J CLIN,WILEY,0007-9235,1542-4863,71799.0,6.0,14.0,3.7,4.7,232.4,353.0,232.2,112.16,Q1,1/326,ca a cancer journal for clinicians,Ca-Cancer J. Clin.,106.094,Q1,211.0,Hematology (Q1); Oncology (Q1),Medicine
2.0,NATURE REVIEWS MICROBIOLOGY,2024.0,NAT REV MICROBIOL,NATURE PORTFOLIO,1740-1526,1740-1534,61109.0,0.0,49.0,6.7,5.4,103.3,99.1,102.8,9.86,Q1,1/163,nature reviews microbiology,Nat. Rev. Microbiol.,9.639,Q1,372.0,Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1),Immunology and Microbiology; Medicine
3.0,NATURE REVIEWS DRUG DISCOVERY,2024.0,NAT REV DRUG DISCOV,NATURE PORTFOLIO,1474-1776,1474-1784,52833.0,4.0,36.0,6.5,5.4,101.8,129.8,101.1,13.95,Q1,1/352,nature reviews drug discovery,Nat. Rev. Drug Discovery,22.399,Q1,391.0,Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1),"Medicine; Pharmacology, Toxicology and Pharmaceutics"
4.0,NATURE REVIEWS MOLECULAR CELL BIOLOGY,2024.0,NAT REV MOL CELL BIO,NATURE PORTFOLIO,1471-0072,1471-0080,73135.0,0.0,49.0,7.1,6.9,90.2,128.7,89.6,7.94,Q1,1/204,nature reviews molecular cell biology,Nat. Rev. Mol. Cell Biol.,35.91,Q1,508.0,Cell Biology (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
5.0,Kidney International Supplements,2024.0,KIDNEY INT SUPPL,ELSEVIER SCIENCE INC,2157-1724,2157-1716,3196.0,9.0,9.0,11.0,5.6,89.6,26.0,89.6,5.88,Q1,1/133,kidney international supplements,Kidney Int. Suppl.,3.126,Q1,51.0,Nephrology (Q1),Medicine
6.0,LANCET,2024.0,LANCET,ELSEVIER SCIENCE INC,0140-6736,1474-547X,347563.0,198.0,251.0,7.8,4.5,88.5,104.8,87.1,23.28,Q1,1/332,lancet,Lancet,,,,,
7.0,Nature Reviews Materials,2024.0,NAT REV MATER,NATURE PORTFOLIO,2058-8437,2058-8437,43197.0,10.0,60.0,4.9,5.0,86.2,99.8,85.9,4.42,Q1,1/460,nature reviews materials,Nat. Rev. Mater.,21.836,Q1,184.0,"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)",Energy; Materials Science
8.0,Nature Reviews Clinical Oncology,2024.0,NAT REV CLIN ONCOL,NATURE PORTFOLIO,1759-4774,1759-4782,33355.0,3.0,48.0,4.6,4.6,82.2,89.9,81.7,11.95,Q1,2/326,nature reviews clinical oncology,Nat. Rev. Clin. Oncol.,21.048,Q1,217.0,Oncology (Q1),Medicine
9.0,NEW ENGLAND JOURNAL OF MEDICINE,2024.0,NEW ENGL J MED,MASSACHUSETTS MEDICAL SOC,0028-4793,1533-4406,397323.0,246.0,293.0,8.4,5.3,78.5,84.9,77.9,23.3,Q1,2/332,new england journal of medicine,N. Engl. J. Med.,20.544,Q1,1184.0,Medicine (miscellaneous) (Q1),Medicine
10.0,Nature Reviews Earth & Environment,2024.0,NAT REV EARTH ENV,SPRINGERNATURE,,2662-138X,14133.0,3.0,52.0,3.0,7.2,71.5,73.7,71.1,5.96,Q1,1/374,nature reviews earth and environment,Nat. Rev. Earth Environ.,9.521,Q1,67.0,Atmospheric Science (Q1); Earth-Surface Processes (Q1); Nature and Landscape Conservation (Q1); Pollution (Q1),Earth and Planetary Sciences; Environmental Science
