Name,Abbr Name,ISSN,EISSN,JIF,JIF5Years,Domain,Area,Rank,Normalized Journal,Journal_Abbreviation,Acronym_Candidate
CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,0007-9235,1542-4863,503.1,297.0,ONCOLOGY,Q1,1/322,ca a cancer journal for clinicians,,
BMJ-British Medical Journal,BMJ-BRIT MED J,0959-535X,1756-1833,93.6,69.9,"MEDICINE, GENERAL & INTERNAL",Q1,3/325,bmj british medical journal,,
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,0098-7484,1538-3598,63.1,66.8,"MEDICINE, GENERAL & INTERNAL",Q1,5/325,jama journal of the american medical association,,
World Psychiatry,WORLD PSYCHIATRY,1723-8617,2051-5545,60.5,55.5,PSYCHIATRY,Q1,1/276,world psychiatry,,
ANNALS OF ONCOLOGY,ANN ONCOL,0923-7534,1569-8041,56.7,38.2,ONCOLOGY,Q1,4/322,annals of oncology,,
CANCER CELL,CANCER CELL,1535-6108,1878-3686,48.8,42.1,ONCOLOGY,Q1,5/322,cancer cell,,CANCER
JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,0732-183X,1527-7755,42.1,37.4,ONCOLOGY,Q1,6/322,journal of clinical oncology,,
Lancet Respiratory Medicine,LANCET RESP MED,2213-2600,,38.7,41.3,RESPIRATORY SYSTEM,Q1,1/100,lancet respiratory medicine,,
EUROPEAN HEART JOURNAL,EUR HEART J,0195-668X,1522-9645,37.6,32.6,CARDIAC & CARDIOVASCULAR SYSTEMS,Q1,2/220,european heart journal,,
MMWR Surveillance Summaries,MMWR SURVEILL SUMM,1545-8636,1545-8636,37.3,30.2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,1/403,mmwr surveillance summaries,,MMWR
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,1759-5029,1759-5037,31.0,46.8,ENDOCRINOLOGY & METABOLISM,Q1,2/186,nature reviews endocrinology,,
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,,2468-1253,30.9,29.6,GASTROENTEROLOGY & HEPATOLOGY,Q1,2/143,lancet gastroenterology and hepatology,,
Lancet Psychiatry,LANCET PSYCHIAT,2215-0374,,30.8,36.8,PSYCHIATRY,Q1,2/276,lancet psychiatry,,
Cancer Discovery,CANCER DISCOV,2159-8274,2159-8290,29.7,32.4,ONCOLOGY,Q1,8/322,cancer discovery,,
